,,calculate MST,compute core distances,compute hierarchy and cluster tree,compute outlier scores,find flat result,runtime
2,8000,624,622,1492,22,243,3060
2,16000,3422,4744,5711,40,542,14514
2,24000,8290,13080,9732,56,12,31246
2,32000,18030,24890,16561,90,1192,60865
2,40000,35571,50032,25340,71,20,111135
2,48000,20298,15773,38696,118,5086,80123
2,56000,30316,24342,50220,99,6582,111702
2,64000,42993,41946,63860,102,8401,157433
2,72000,61349,62803,78890,136,10489,213827
2,80000,86100,87121,104851,154,12777,291163
2,88000,107276,119212,121918,182,15636,364407
2,96000,80565,88392,142386,122,18594,330248
2,104000,99502,85378,168434,171,22258,375928
2,112000,118551,90896,199844,226,27171,436855
2,120000,147139,121902,210340,158,32281,512020
2,128000,182831,158954,260799,228,36374,639384
5,8000,803,907,640,24,17,2468
5,16000,4025,6237,1609,37,19,12025
5,24000,5345,15126,3249,60,26,23952
5,32000,10404,10845,5548,77,29,27043
5,40000,22235,27360,7303,84,33,57168
5,48000,39939,49988,9814,93,39,100041
5,56000,33073,30384,15212,107,38,78986
5,64000,52653,53860,17047,127,46,123917
5,72000,77242,84245,23702,118,36,185555
5,80000,108770,125721,31750,140,34,266622
5,88000,140356,170121,33576,149,53,344486
5,96000,186953,203925,46083,185,40,437405
5,104000,146302,248246,50781,353,73,445989
5,112000,159718,150778,54602,175,53,365611
5,120000,194952,180324,71056,226,69,446893
5,128000,250133,255315,85176,241,46,591201
10,8000,1074,1763,373,28,14,3347
10,16000,3615,3858,1245,50,24,8914
10,24000,10598,17317,1938,68,30,30144
10,32000,13761,15707,3413,82,39,33204
10,40000,29709,39094,8769,101,57,77928
10,48000,34325,37811,18517,133,49,91048
10,56000,81323,108916,9915,127,50,200561
10,64000,64556,74037,18723,139,61,157770
10,72000,111252,114018,15777,151,72,241532
10,80000,136247,165805,20230,197,80,322847
10,88000,122443,204552,15006,203,80,342573
10,96000,160015,173657,20586,179,73,354798
10,104000,199701,215870,18923,202,74,435081
10,112000,244868,279603,22277,265,104,547449
10,120000,306516,355204,24496,265,115,686922
10,128000,271135,269269,31109,206,136,572215
25,8000,1195,1829,350,31,43,3585
25,16000,6410,10653,924,46,36,18263
25,24000,13252,17456,1826,63,63,32881
25,32000,34042,50735,5504,78,76,90680
25,40000,46438,58907,4457,109,82,110275
25,48000,64879,74894,13223,124,107,153555
25,56000,98906,128676,8398,123,138,236582
25,64000,147256,207237,16032,137,117,371163
25,72000,175076,226689,10241,156,157,412771
25,80000,232469,327623,19225,174,227,580180
25,88000,218678,253468,18846,176,224,491880
25,96000,287941,362339,14325,197,189,665513
25,104000,368983,488749,20733,163,135,879320
25,112000,407948,512364,25227,175,200,946495
25,120000,550593,778372,24603,205,176,1354579
25,128000,647824,945765,33639,224,174,1628338
50,8000,2313,4115,441,28,43,7119
50,16000,12828,20685,1163,50,88,35048
50,24000,27541,39661,1988,65,113,69679
50,32000,56303,85807,3371,73,159,146071
50,40000,90720,137414,4801,102,197,233684
50,48000,122137,173262,9205,104,178,305392
50,56000,168479,242965,10462,117,166,422749
50,64000,246315,379799,14992,132,229,642115
50,72000,282092,405504,14290,165,244,703033
50,80000,352981,512679,17941,177,330,884889
50,88000,438449,643205,15735,179,353,1098758
50,96000,504656,724577,19070,207,219,1249631
50,104000,592942,836562,24831,189,317,1455788
50,112000,714665,1047422,21969,239,428,1785726
50,120000,847335,1254820,17559,209,548,2121531
50,128000,969114,1450654,24317,259,424,2445925
